point_id,x,y,true_cluster
0,-0.006253707524379485,-1.2077479834053924,cluster_0
1,-0.8811645217790355,0.7336207043320767,cluster_0
2,-0.32649155420520415,-0.7761620824566274,cluster_0
3,0.16062225512090078,-0.3656887020017162,cluster_0
4,-0.3295751604428752,0.5175282179724322,cluster_0
5,-0.8132133512540426,-0.6337556488772825,cluster_0
6,0.10785599450420805,0.6785868535237437,cluster_0
7,0.8667122110428948,-0.4655432042531361,cluster_0
8,0.6561638768437534,-0.5488996054292862,cluster_0
9,1.2783465428347598,-0.7936397177938098,cluster_0
10,0.9299351675542116,-0.45954027477310666,cluster_0
11,1.40927251835622,0.413924510196739,cluster_0
12,-0.7112115705857553,-0.36556693567975473,cluster_0
13,0.5468268436566192,0.736851092330893,cluster_0
14,-0.049500914207123825,0.03126079667442648,cluster_0
15,0.5308471228508458,0.09225889890757397,cluster_0
16,-0.9054534015368629,-0.5690818172481265,cluster_0
17,0.16458396020616553,0.8508376915483855,cluster_0
18,1.1311876969134333,0.5456705945400151,cluster_0
19,0.20110353272545461,0.5241697201877339,cluster_0
20,-0.46672559514479894,-0.10726167218074992,cluster_0
21,-0.5768915049376336,-0.8741198274953981,cluster_0
22,0.23348430814534343,0.12985931460932051,cluster_0
23,0.48135673915630894,0.382278281624713,cluster_0
24,0.1698509899267034,0.389631665974288,cluster_0
25,-0.02987816735923364,0.2890239766556804,cluster_0
26,-0.5083010818804516,0.25879414794739103,cluster_0
27,0.4678923797002066,-0.46877699965054215,cluster_0
28,0.03628246929499271,-0.4365217567405517,cluster_0
29,-0.3685546875612804,-0.7874505485715082,cluster_0
30,0.8860424476165888,0.7459796223040334,cluster_0
31,0.376203697959136,1.3805371663606696,cluster_0
32,-0.13247198759787418,2.1222336905774437,cluster_0
33,-0.15927059075425426,0.17863534622921148,cluster_0
34,-0.2784445397581457,0.2606278920422135,cluster_0
35,0.5849304495203711,-0.07974147513715875,cluster_0
36,1.2437038929823343,0.1674044992434225,cluster_0
37,0.18933977027713939,-0.6362983861596022,cluster_0
38,0.29294935218526913,-0.09381905456655591,cluster_0
39,-0.4257678105361008,-0.5435320857038547,cluster_0
40,6.870234365829679,4.815565924874675,cluster_1
41,3.9801102054531126,4.511244978187199,cluster_1
42,4.9639025123666505,5.38266692283154,cluster_1
43,5.38835756520772,5.473630186243568,cluster_1
44,4.548597785353869,5.238308310451082,cluster_1
45,4.386758375122595,4.566249911890192,cluster_1
46,4.357603717849818,4.168127801781211,cluster_1
47,5.744946642200606,5.482028190685221,cluster_1
48,5.683665758984691,5.027519146217007,cluster_1
49,5.5437653892056025,3.767097416750219,cluster_1
50,5.604161262631749,5.123983881003521,cluster_1
51,5.4389767201044155,5.266016309334029,cluster_1
52,4.309061391824179,3.9513721572262677,cluster_1
53,4.501562083671926,5.395442096891038,cluster_1
54,5.483063990622777,4.042440405832696,cluster_1
55,4.31323044277225,4.493735019841413,cluster_1
56,4.749886457813229,4.046564418403143,cluster_1
57,4.004563763701907,4.424715292514712,cluster_1
