date,asset,sector,weight,asset_return_1d
2026-04-01,A00,tech,0.0,0.002539482270242046
2026-04-01,A01,fin,-0.16666666666666666,0.018384887714398675
2026-04-01,A02,indu,0.0,0.01235199162826674
2026-04-01,A03,hlth,0.16666666666666666,-0.013423590392099909
2026-04-01,A04,tech,-0.16666666666666666,-0.0004291250729653688
2026-04-01,A05,fin,-0.16666666666666666,-0.02438637004402925
2026-04-01,A06,indu,0.0,0.018080367638814595
2026-04-01,A07,hlth,0.0,-0.0022634885890993866
2026-04-01,A08,tech,0.0,-0.0037644519009223665
2026-04-01,A09,fin,0.0,-0.01703076659837315
2026-04-01,A10,indu,0.16666666666666666,0.02796841867293192
2026-04-01,A11,hlth,0.16666666666666666,2.0578100339749793e-05
2026-04-02,A00,tech,0.16666666666666666,-0.03094174118002852
2026-04-02,A01,fin,0.0,-0.006427384321759931
2026-04-02,A02,indu,0.0,0.0044115388968600485
2026-04-02,A03,hlth,0.0,0.014249599530539725
2026-04-02,A04,tech,-0.16666666666666666,0.008395908316434435
2026-04-02,A05,fin,0.0,0.0145882598385693
2026-04-02,A06,indu,0.0,-0.008855992062139934
2026-04-02,A07,hlth,-0.16666666666666666,-0.01180254724626471
2026-04-02,A08,tech,0.0,0.016058948620236345
2026-04-02,A09,fin,0.16666666666666666,0.002153678747305286
2026-04-02,A10,indu,-0.16666666666666666,-0.02897705092953141
2026-04-02,A11,hlth,0.16666666666666666,-0.018792630861703692
2026-04-03,A00,tech,-0.16666666666666666,0.0115153642997303
2026-04-03,A01,fin,-0.16666666666666666,-0.038535395774252905
2026-04-03,A02,indu,0.16666666666666666,0.010287569777810894
2026-04-03,A03,hlth,0.0,0.0011327958252053145
2026-04-03,A04,tech,0.0,-0.013395649330093448
2026-04-03,A05,fin,0.16666666666666666,-0.023724243896624832
2026-04-03,A06,indu,0.0,1.7534270031686503e-05
2026-04-03,A07,hlth,0.16666666666666666,-0.007639791907407703
2026-04-03,A08,tech,0.0,0.0009190535070545706
2026-04-03,A09,fin,0.0,-0.00038470732100166245
2026-04-03,A10,indu,-0.16666666666666666,0.028235489606775986
2026-04-03,A11,hlth,0.0,-0.006143244853062736
2026-04-06,A00,tech,-0.16666666666666666,-0.000646273951783587
2026-04-06,A01,fin,0.0,0.01799336117974241
2026-04-06,A02,indu,0.0,-0.012434299167022274
2026-04-06,A03,hlth,0.0,-0.024262038874006034
2026-04-06,A04,tech,0.16666666666666666,-0.015038414321496864
2026-04-06,A05,fin,0.16666666666666666,-0.013876327020933686
2026-04-06,A06,indu,0.0,0.04193485530054854
2026-04-06,A07,hlth,-0.16666666666666666,-0.020570348595790967
2026-04-06,A08,tech,-0.16666666666666666,0.01007105229590947
2026-04-06,A09,fin,0.0,-0.02000377519803385
2026-04-06,A10,indu,0.0,0.018416330054211602
